%OpenBCI Raw EEG Data
%
%Sample Rate = 250.0 Hz
%First Column = SampleIndex
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
0, 4215.74, 6637.71, -187500.02, 120469.33, 187500.00, 187500.00, 33466.13, 187500.00, 0.07, 0.42, 0.27
1, 4195.87, 6632.52, -187500.02, 116252.54, 187500.00, 187500.00, 33452.60, 187500.00, 0.00, 0.00, 0.00
2, 4227.16, 6640.99, -187500.02, 113555.06, 187500.00, 187500.00, 33617.09, 187500.00, 0.00, 0.00, 0.00
3, 4249.27, 6641.33, -187500.02, 112474.87, 187500.00, 187500.00, 33644.18, 187500.00, 0.00, 0.00, 0.00
4, 4224.84, 6630.44, -187500.02, 110160.95, 187500.00, 187500.00, 33472.16, 187500.00, 0.00, 0.00, 0.00
5, 4191.71, 6618.93, -187500.02, 106173.11, 187500.00, 187500.00, 33414.56, 187500.00, 0.00, 0.00, 0.00
6, 4224.64, 6641.91, -187500.02, 103289.22, 187500.00, 187500.00, 33573.59, 187500.00, 0.00, 0.00, 0.00
7, 4245.58, 6642.69, -187500.02, 102262.63, 187500.00, 187500.00, 33626.93, 187500.00, 0.14, 0.82, 0.54
8, 4243.37, 6652.91, -187500.02, 100402.87, 187500.00, 187500.00, 33508.46, 187500.00, 0.00, 0.00, 0.00
9, 4196.29, 6624.79, -187500.02, 96625.41, 187500.00, 187500.00, 33402.16, 187500.00, 0.00, 0.00, 0.00
10, 4196.52, 6617.28, -187500.02, 93530.07, 187500.00, 187500.00, 33513.55, 187500.00, 0.00, 0.00, 0.00
11, 4235.86, 6637.98, -187500.02, 92593.75, 187500.00, 187500.00, 33649.41, 187500.00, 0.00, 0.00, 0.00
12, 4238.56, 6643.36, -187500.02, 91458.55, 187500.00, 187500.00, 33568.23, 187500.00, 0.00, 0.00, 0.00
13, 4199.60, 6627.36, -187500.02, 88307.18, 187500.00, 187500.00, 33443.66, 187500.00, 0.00, 0.00, 0.00
14, 4201.61, 6626.58, -187500.02, 85254.63, 187500.00, 187500.00, 33537.83, 187500.00, 0.00, 0.00, 0.00
15, 4235.74, 6636.12, -187500.02, 84316.61, 187500.00, 187500.00, 33679.54, 187500.00, 0.00, 0.00, 0.00
16, 4242.34, 6643.12, -187500.02, 83608.44, 187500.00, 187500.00, 33603.79, 187500.00, 0.00, 0.00, 0.00
17, 4216.63, 6643.92, -187500.02, 80861.68, 187500.00, 187500.00, 33485.06, 187500.00, 0.15, 0.81, 0.53
18, 4195.78, 6624.99, -187500.02, 77667.34, 187500.00, 187500.00, 33535.57, 187500.00, 0.00, 0.00, 0.00
19, 4222.71, 6628.41, -187500.02, 76515.41, 187500.00, 187500.00, 33684.48, 187500.00, 0.00, 0.00, 0.00
